Frame	Object Count	Min Distance
147	ball: 1	48
148	ball: 1	47
149	ball: 1	47
150	ball: 1	43
151	ball: 1	41
152	ball: 1	39
153	ball: 1	39
154	ball: 1	39
155	ball: 1	37
156	ball: 1	37
157	ball: 1	38
158	ball: 1	37
159	ball: 1	37
160	ball: 1	37
161	ball: 1	37
162	ball: 1	36
163	ball: 1	36
164	ball: 1	36
165	ball: 1	35
166	ball: 1	35
167	ball: 1	34
168	ball: 1	34
169	ball: 1	34
170	ball: 1	34
171	ball: 1	34
172	ball: 1	37
173	ball: 1	34
174	ball: 1	34
175	ball: 1	36
176	ball: 1	36
177	ball: 1	36
178	ball: 1	34
179	ball: 1	34
180	ball: 1	34
181	ball: 1	34
182	ball: 1	33
183	ball: 1	33
184	ball: 1	33
185	ball: 1	33
186	ball: 1	32
187	ball: 1	33
188	ball: 1	33
189	ball: 1	32
190	ball: 1	32
191	ball: 1	32
192	ball: 1	32
193	ball: 1	32
194	ball: 1	31
195	ball: 1	32
196	ball: 1	31
197	ball: 1	32
198	ball: 1	32
199	ball: 1	32
200	ball: 1	33
201	ball: 1	33
202	ball: 1	33
203	ball: 1	34
204	ball: 1	34
205	ball: 1	35
206	ball: 1	35
207	ball: 1	36
208	ball: 1	37
209	ball: 1	37
210	ball: 1	37
211	ball: 1	38
212	ball: 1	41
213	ball: 1	41
214	ball: 1	43
